#    futils - utility library
#    Copyright (c) 2021-2024 on-keyday (https://github.com/on-keyday)
#    Released under the MIT license
#    https://opensource.org/licenses/mit-license.php

this list shows wrap macros

macro                                default
FUTILS_WRAP_STRING_TYPE               std::string
FUTILS_WRAP_U16STRING_TYPE            std::u16string
FUTILS_WRAP_U32STRING_TYPE            std::u32string
FUTILS_WRAP_PATHSTRING_TYPE           (windows) std::wstring (other) std::string
FUTILS_WRAP_VECTOR_TEMPLATE           std::vector
FUTILS_WRAP_QUEUE_TEMPLATE            std::deque
FUTILS_WRAP_SHARED_PTR_TEMPLATE       std::shared_ptr
FUTILS_WRAP_WEAK_PTR_TEMPLATE         std::weak_ptr
FUTILS_WRAP_MAKE_SHARED_PTR_FUNC      std::make_shared
FUTILS_WRAP_MAP_TEMPLATE              std::map
FUTILS_WRAP_MULTIMAP_TEMPLATE         std::multimap
FUTILS_WRAP_SET_TEMPLATE              std::set
FUTILS_WRAP_HASH_MAP_TEMPLATE         std::unordered_map
FUTILS_WRAP_HASH_MULTIMAP_TEMPLATE    std::unordered_multimap
FUTILS_WRAP_UNIQUE_PTR_TEMPLATE       std::unique_ptr
FUTILS_WRAP_MAKE_UNIQUE_PTR_FUNC      std::make_unique
