this list shows wrap macros

macro                                default
UTILS_WRAP_STRING_TYPE               std::string
UTILS_WRAP_U16STRING_TYPE            std::u16string
UTILS_WRAP_U32STRING_TYPE            std::u32string
UTILS_WRAP_PATHSTRING_TYPE           (windows) std::wstring (other) std::string
UTILS_WRAP_VECTOR_TEMPLATE           std::vector
UTILS_WRAP_QUEUE_TEMPLATE            std::deque
UTILS_WRAP_SHARED_PTR_TEMPLATE       std::shared_ptr
UTILS_WRAP_MAKE_SHARED_PTR_FUNC      std::make_shared
UTILS_WRAP_MAP_TEMPLATE              std::map
UTILS_WRAP_MULTIMAP_TEMPLATE         std::multimap
